ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7928848266601562 0.7475397847592831 0.8772772550582886 0.8883001937675868 1.0             1.0             0.17945259809494019 0.9844229780137539 0.09851564308738776 0.09851564308738776 0.09851564308738776 0.9727036356925964 0.9727036356925964
1        0.72023506462574 0.6852165525779128 0.8574181497097015 0.914579427332317 1.0             1.0             0.6702971458435059 0.9973858341109008 0.00495100075438847 0.00495100075438847 0.00495100075438847 0.9779600501060486 0.9779600501060486
2        0.8107501864433289 0.78388412296772 0.9163192957639694 0.9226690172212161 1.0             1.0             0.15256118774414062 0.9770746044814587 0.00804171456132798 0.00804171456132798 0.00804171456132798 0.7776877284049988 0.7776877284049988
3        0.8473085463047028 0.8185503520071507 0.9441381990909576 0.9255553553759058 1.0             1.0             0.9592642486095428 0.9923358378000557 0.016035958121922787 0.016035958121922787 0.016035958121922787 0.9614038467407227 0.9614038467407227
4        0.8273912370204926 0.7944566663354635 0.9286094605922699 0.9341473060356819 1.0             1.0             0.9635593220591545 0.9856372736394405 0.01278434649180661 0.01278434649180661 0.01278434649180661 0.9034846425056458 0.9034846425056458
5        0.8221902549266815 0.7930294685065746 0.9240818917751312 0.9281157711887318 1.0             1.0             0.006977736949920654 0.9873216999694705 0.049465728131006456 0.049465728131006456 0.049465728131006456 0.9713305830955505 0.9713305830955505
6        0.7556926608085632 0.7453377451747656 0.9036753475666046 0.9436452515789719 0.05308065395201411 0.11640952527523041 0.025054335594177246 0.9784767609089613 0.01056934125898579 0.016943809620664822 0.00900326165071644 0.532678946852684 0.34841546416282654
7        0.7052851617336273 0.6952286846935749 0.851479098200798 0.9106642454512641 1.0             1.0             0.18879002332687378 0.9662510119378567 0.017411408689960814 0.017411408689960814 0.017411408689960814 0.866284966468811 0.866284966468811
8        0.7984064519405365 0.7615295236930251 0.9252841770648956 0.9408821296273616 0.0537335710092024 0.08965729176998138 0.09964042901992798 0.23637765645980835 0.01885164972134395 0.0379116005430182 0.01644210790655874 0.9789139330387115 0.9702211618423462
9        0.8057041168212891 0.7839853763580322 0.9278448820114136 0.9278824933004879 1.0             1.0             0.6649624109268188 0.9489455297589302 0.01640772539267251 0.01640772539267251 0.01640772539267251 0.974452555179596 0.974452555179596
10       0.8130923509597778 0.7746618911623955 0.8870313912630081 0.9265153717262493 1.0             1.0             0.9339389279484749 0.9968630757648498 0.0025969804945654984 0.002596980494565499 0.002596980494565499 0.9469264149665833 0.9469264149665833
11       0.7477833926677704 0.7037969542046387 0.8406051695346832 0.9085702985590025 1.0             1.0             0.7023287713527679 0.997717377031222 0.0023905769260001947 0.0023905769260001947 0.0023905769260001947 0.9628283381462097 0.9628283381462097
12       0.8391856849193573 0.8222637971242268 0.9513032734394073 0.9388688847595373 1.0             1.0             0.7974142134189606 0.9934453782625496 0.04866588145609426 0.04866588145609426 0.04866588145609426 0.9064437747001648 0.9064437747001648
13       0.9236495196819305 0.8834251463413239 0.9526932388544083 0.9306767259458911 1.0             1.0             0.9413737058639526 0.9064430594444275 0.024145105696890927 0.024145105696890923 0.024145105696890923 0.7779665589332581 0.7779665589332581
14       0.8716475963592529 0.8346978463232517 0.9491690397262573 0.9319913525482734 1.0             1.0             0.9562466964125633 0.9973505635280162 0.011356918496231532 0.011356918496231532 0.011356918496231532 0.6904309988021851 0.6904309988021851
15       0.8589301705360413 0.7608789863064885 0.9293190687894821 0.9434650251416543 1.0             1.0             0.36191076040267944 0.9917704807594419 0.009773050588883881 0.009773050588883883 0.009773050588883883 0.9813385009765625 0.9813385009765625
16       0.8510199785232544 0.830305926501751 0.9412984699010849 0.9119207814921393 1.0             1.0             0.9903465202078223 0.8860072270035744 0.06679054933083872 0.06679054933083872 0.06679054933083872 0.9179971814155579 0.9179971814155579
17       0.8254857957363129 0.8200154304504395 0.9391240179538727 0.9190075632682383 1.0             1.0             0.8451888114213943 0.9824480284005404 0.04671261750386785 0.04671261750386785 0.04671261750386785 0.8193901181221008 0.8193901181221008
18       0.731543242931366 0.6927457059112687 0.8750303089618683 0.9177516592822954 1.0             1.0             0.008405745029449463 0.9986699890578166 0.002036238629906885 0.002036238629906885 0.002036238629906885 0.857695996761322 0.857695996761322
19       0.7934882640838623 0.7556087769567966 0.909690260887146 0.9301835860589677 1.0             1.0             0.9569246545433998 0.9529476091265678 0.010181086651281283 0.010181086651281285 0.010181086651281285 0.642933189868927 0.642933189868927
20       0.6915672123432159 0.670713840983808 0.8640865832567215 0.9121969580064017 1.0             1.0             0.07254445552825928 0.9794281553477049 0.02892445256407868 0.02892445256407868 0.02892445256407868 0.9730163216590881 0.9730163216590881
21       0.7404702305793762 0.7316196411848068 0.8965988755226135 0.9124630798938788 1.0             1.0             0.9558699652552605 0.9825019687414169 0.011644277003330514 0.011644277003330514 0.011644277003330514 0.8486568331718445 0.8486568331718445
